%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1517688490976940983,1236,1517688490975934982,/gps,1,1,21.311725,-157.889796667,14.8,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688491992683601,1237,1517688491992007970,/gps,1,1,21.3117233333,-157.889791667,14.8,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688492974545577,1238,1517688492973984003,/gps,1,1,21.31172,-157.889786667,14.8,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688493958466448,1239,1517688493957986116,/gps,1,1,21.3117183333,-157.88978,14.7,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688494966527946,1240,1517688494966037988,/gps,1,1,21.311715,-157.889775,14.6,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688495927581729,1241,1517688495926897048,/gps,1,1,21.3117133333,-157.88977,14.5,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688496927586460,1242,1517688496926723003,/gps,1,1,21.31171,-157.889766667,14.5,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688497995074051,1243,1517688497994807958,/gps,1,1,21.31171,-157.889761667,14.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688498966559619,1244,1517688498965912103,/gps,1,1,21.31171,-157.889758333,14.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688499982400746,1245,1517688499981755971,/gps,1,1,21.3117116667,-157.889753333,14.5,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688500909226636,1246,1517688500908974885,/gps,1,1,21.3117133333,-157.88975,14.5,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688501911351208,1247,1517688501910689115,/gps,1,1,21.3117183333,-157.889746667,14.5,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688502975116047,1248,1517688502974678993,/gps,1,1,21.3117233333,-157.889745,14.5,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688503987551206,1249,1517688503987221002,/gps,1,1,21.3117266667,-157.889745,14.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688504956180776,1250,1517688504955900907,/gps,1,1,21.31173,-157.889748333,14.7,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688505916526298,1251,1517688505916095972,/gps,1,1,21.3117316667,-157.889751667,14.9,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688506899259995,1252,1517688506898967981,/gps,1,1,21.3117316667,-157.889753333,14.9,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688507904500084,1253,1517688507904237031,/gps,1,1,21.3117316667,-157.889755,14.9,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688508904438288,1254,1517688508904172897,/gps,1,1,21.3117316667,-157.889756667,15.0,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688509990890207,1255,1517688509990190982,/gps,1,1,21.3117316667,-157.889758333,15.0,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688510917275904,1256,1517688510916928052,/gps,1,1,21.3117316667,-157.88976,15.0,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688511965059816,1257,1517688511964737892,/gps,1,1,21.3117266667,-157.889761667,15.1,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688512963379214,1258,1517688512963059902,/gps,1,1,21.3117233333,-157.889763333,15.1,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688513970757540,1259,1517688513970093011,/gps,1,1,21.3117183333,-157.889765,15.1,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688515016151132,1260,1517688515015393972,/gps,1,1,21.3117183333,-157.889768333,15.2,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688515984768667,1261,1517688515984498023,/gps,1,1,21.31172,-157.889773333,15.2,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688516908797216,1262,1517688516908513069,/gps,1,1,21.3117216667,-157.889778333,15.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688517932896079,1263,1517688517932070016,/gps,1,1,21.311725,-157.889785,15.2,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688518926180737,1264,1517688518925529956,/gps,1,1,21.3117283333,-157.889791667,15.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688519999363455,1265,1517688519999016046,/gps,1,1,21.3117316667,-157.8898,15.3,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688520960783091,1266,1517688520959945917,/gps,1,1,21.3117333333,-157.889808333,15.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688521991023135,1267,1517688521990355014,/gps,1,1,21.3117333333,-157.889813333,15.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688522905747180,1268,1517688522905219078,/gps,1,1,21.3117316667,-157.889816667,15.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688523959664247,1269,1517688523958976030,/gps,1,1,21.3117283333,-157.889818333,15.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688524955163050,1270,1517688524954843997,/gps,1,1,21.3117266667,-157.889816667,15.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688525953895406,1271,1517688525953614950,/gps,1,1,21.311725,-157.889815,15.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688526922335705,1272,1517688526921874046,/gps,1,1,21.311725,-157.889811667,15.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688527917424757,1273,1517688527916724920,/gps,1,1,21.311725,-157.889805,15.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688528902331955,1274,1517688528902059078,/gps,1,1,21.3117266667,-157.8898,15.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688529958779605,1275,1517688529958354949,/gps,1,1,21.3117283333,-157.889796667,15.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688530996557797,1276,1517688530995887041,/gps,1,1,21.3117316667,-157.889793333,15.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688531955043688,1277,1517688531954097986,/gps,1,1,21.311735,-157.889791667,15.2,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688532998112111,1278,1517688532997771978,/gps,1,1,21.3117366667,-157.88979,15.2,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688533967920310,1279,1517688533967173099,/gps,1,1,21.31174,-157.889786667,15.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688534979230562,1280,1517688534978928089,/gps,1,1,21.3117416667,-157.889785,15.2,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688535961438362,1281,1517688535961162090,/gps,1,1,21.311745,-157.889783333,15.2,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688537013395415,1282,1517688537013060092,/gps,1,1,21.3117483333,-157.889783333,15.2,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688537913636710,1283,1517688537913315057,/gps,1,1,21.31175,-157.889783333,15.2,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688538908438291,1284,1517688538908178091,/gps,1,1,21.3117533333,-157.889783333,15.2,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688539925501368,1285,1517688539924801111,/gps,1,1,21.3117566667,-157.889781667,15.2,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688540935195950,1286,1517688540934861898,/gps,1,1,21.31176,-157.889781667,15.2,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688541917464732,1287,1517688541916996955,/gps,1,1,21.3117616667,-157.889781667,15.2,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688542966308107,1288,1517688542965528964,/gps,1,1,21.311765,-157.889781667,15.3,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688543980567459,1289,1517688543979955911,/gps,1,1,21.3117683333,-157.889781667,15.4,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688544962741636,1290,1517688544961924076,/gps,1,1,21.3117716667,-157.889781667,15.4,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688545930110763,1291,1517688545929240942,/gps,1,1,21.311775,-157.889781667,15.5,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688546961033287,1292,1517688546960755109,/gps,1,1,21.3117783333,-157.889781667,15.5,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688547942796835,1293,1517688547942477941,/gps,1,1,21.3117816667,-157.889781667,15.5,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688548962155273,1294,1517688548961877107,/gps,1,1,21.311785,-157.889781667,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688549983718269,1295,1517688549982269048,/gps,1,1,21.3117883333,-157.889781667,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688550918363395,1296,1517688550917742013,/gps,1,1,21.3117916667,-157.889781667,15.5,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688551997274597,1297,1517688551996952056,/gps,1,1,21.311795,-157.889781667,15.5,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688552915309712,1298,1517688552915066957,/gps,1,1,21.3118,-157.889783333,15.5,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688553981543491,1299,1517688553980808973,/gps,1,1,21.3118033333,-157.889783333,15.5,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688554981387688,1300,1517688554981089115,/gps,1,1,21.3118066667,-157.889783333,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688555982345467,1301,1517688555982088088,/gps,1,1,21.31181,-157.889783333,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688556982444250,1302,1517688556981791019,/gps,1,1,21.3118133333,-157.889785,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688557999877832,1303,1517688557999109029,/gps,1,1,21.3118166667,-157.889785,15.7,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688558922593596,1304,1517688558921813964,/gps,1,1,21.31182,-157.889785,15.7,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688559966304921,1305,1517688559965950965,/gps,1,1,21.3118233333,-157.889785,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688560931168369,1306,1517688560930838108,/gps,1,1,21.3118283333,-157.889786667,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688561930024903,1307,1517688561929405927,/gps,1,1,21.3118316667,-157.889786667,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688562913456616,1308,1517688562913070917,/gps,1,1,21.311835,-157.889786667,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688564027561259,1309,1517688564026879072,/gps,1,1,21.3118383333,-157.889786667,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688564982179760,1310,1517688564981759071,/gps,1,1,21.3118416667,-157.889788333,15.5,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688565972732442,1311,1517688565972268104,/gps,1,1,21.311845,-157.889788333,15.5,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688566933391900,1312,1517688566932832002,/gps,1,1,21.3118483333,-157.889788333,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688567969312087,1313,1517688567968712091,/gps,1,1,21.3118516667,-157.889788333,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688568930495701,1314,1517688568929776906,/gps,1,1,21.311855,-157.889788333,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688569997999910,1315,1517688569997078895,/gps,1,1,21.3118583333,-157.889788333,15.6,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688570958428818,1316,1517688570957679033,/gps,1,1,21.3118616667,-157.88979,15.7,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688571919121000,1317,1517688571918632030,/gps,1,1,21.311865,-157.88979,15.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688572966373568,1318,1517688572965730905,/gps,1,1,21.3118683333,-157.88979,15.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688573931769983,1319,1517688573931032896,/gps,1,1,21.3118716667,-157.88979,15.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688574961201684,1320,1517688574960519075,/gps,1,1,21.311875,-157.889791667,15.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688575972228046,1321,1517688575971997022,/gps,1,1,21.3118783333,-157.889791667,15.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
