%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1517688492116279083,1,1517688480140762090,/gps,1,1,21.3117966667,-157.88928,9.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688492989340351,2,1517688481132471084,/gps,1,1,21.3117966667,-157.88928,9.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688494013108382,3,1517688482140078067,/gps,1,1,21.3117966667,-157.88928,9.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688494998021666,4,1517688483131616115,/gps,1,1,21.3117966667,-157.88928,9.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688496016626785,5,1517688484139528036,/gps,1,1,21.3117966667,-157.88928,9.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688497004934772,6,1517688485130939006,/gps,1,1,21.3117966667,-157.88928,9.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688498024419444,7,1517688486154747962,/gps,1,1,21.3117966667,-157.88928,9.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688499023159498,8,1517688487146295070,/gps,1,1,21.3117966667,-157.88928,9.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688499995762297,9,1517688488138035058,/gps,1,1,21.3117966667,-157.88928,10.0,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688501008216853,10,1517688489145665884,/gps,1,1,21.3117966667,-157.88928,10.0,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688501931451744,11,1517688490073440074,/gps,1,1,21.3117966667,-157.88928,10.0,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688502919776177,12,1517688491064934015,/gps,1,1,21.3117966667,-157.88928,10.0,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688503968473110,13,1517688492104662895,/gps,1,1,21.3117966667,-157.88928,10.0,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688504927988236,14,1517688493064256906,/gps,0,1,21.3117966667,-157.88928,10.0,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688505931906088,15,1517688494055973052,/gps,0,1,21.3117966667,-157.88928,10.0,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688506921578212,16,1517688495063628911,/gps,0,1,21.3117966667,-157.88928,10.0,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688507930356870,17,1517688496071439981,/gps,0,1,21.3117966667,-157.88928,10.0,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688508948919081,18,1517688497095078945,/gps,0,1,21.3117966667,-157.88928,10.0,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688509923864121,19,1517688498054815053,/gps,0,1,21.3117966667,-157.88928,10.0,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688510977364342,20,1517688499110491991,/gps,0,1,21.3117966667,-157.88928,10.0,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688511983607070,21,1517688500118022918,/gps,0,1,21.3117966667,-157.88928,10.0,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688512967068794,22,1517688501093918085,/gps,0,1,21.3117966667,-157.88928,10.0,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688513976069784,23,1517688502101492881,/gps,0,1,21.3117966667,-157.88928,10.0,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688514988182824,24,1517688503108993053,/gps,0,1,21.3117966667,-157.88928,10.0,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688516016132457,25,1517688504132540941,/gps,0,1,21.3117966667,-157.889281667,10.0,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688516976556011,26,1517688505108095884,/gps,0,1,21.3117966667,-157.889281667,10.0,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
